Serial Number,address,attributes,business_id,Category 1,Category 2,Category 3,Event Planning & Caterers,Cuisine,Cuisine 2,Cuisine 3,Cuisine 4,Cuisine5,Cuisine6,Cuisine Type 1,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
885,3114 E Camelback Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, yes_free, {'monday': True, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, False, False, None, True, None, False, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, True, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, average, None, True, casual, None, False, True, 2, True, True, True, outdoor, True, free)",HEOhtDZgK0CFhwR9shDU_g,Pub,,,,American,,,,,,,Phoenix,"(11:0-23:0, 11:0-23:0, 11:0-23:0, 8:0-22:0, 11:0-23:0, 11:0-23:0, 11:0-23:0)",1,33.5100981,-112.0154798,Keegan's Grill,,85016,145,4,AZ
886,"7333 W Thomas Rd, Ste 88","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}, None, None, True, None, average, None, False, casual, None, False, True, 1, True, True, True, None, True, no)",rCD-XFLBhscylZdg1OkCSQ,Restaurant,,,,Latin American,Salvadora,,,,,,Phoenix,"(9:0-22:0, 9:0-21:0, 8:0-22:0, 8:0-22:0, 9:0-21:0, 9:0-21:0, 9:0-21:0)",1,33.47923335,-112.2173886,Salvadoreno Restaurant #2,,85033,65,3.5,AZ
887,"550 W Bell Rd, Ste 102","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, False, casual, None, False, True, 1, False, False, True, None, None, no)",CzGHuG34OdBugbMLAqi9Sg,Restaurant,,,,Japanese,,,,,,,Phoenix,"(10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0, 10:0-21:0)",1,33.6407625,-112.0811245,Samurai Sam's,,85023,30,3,AZ
888,3721 E Thomas Rd,"(None, None, None, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, None, None, None, None, None, None, None, None, None, False, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, None, None, very_loud, None, None, casual, None, False, False, 1, False, None, True, None, None, no)",gMWqOTN7MlPce2MyPwYeZg,Restaurant,,,,American,,,,,,,Phoenix,"(6:0-0:0, 6:0-0:0, 6:0-0:0, 6:0-0:0, 6:0-0:0, 6:0-0:0, 6:0-0:0)",1,33.478874,-112.0011562,McDonald's,,85018,6,1.5,AZ
889,"4340 E Indian School Rd Bldg A, Ste 23","(None, None, beer_and_wine, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, False, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, True, 2, False, False, True, None, None, free)",WzrMNz9eUF78RgZGDTS8xg,Restaurant,,,,Asian, Japanese,Chinese,Korean,,,,Phoenix,"(11:0-22:0, 11:0-21:30, 11:0-22:0, 11:0-21:30, 11:0-21:30, 11:0-21:30, 11:0-21:30)",1,33.4954691,-111.988199,Pei Wei,,85018,153,3,AZ
890,2911 E Van Buren St,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, False, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, False, None, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, None, None, True, None, None, False, None, None, True, None, False, outdoor, None, None)",bbMJNMWjd7n2ztcE79ZwfQ,Pub,,,,American,,,,,,,Phoenix,"(11:0-5:0, 11:0-5:0, 11:0-5:0, 19:0-5:0, 11:0-5:0, 11:0-5:0, 11:0-5:0)",1,33.4508655,-112.0187834,The Blue Moon,,85008,4,2.5,AZ
891,4825 E Warner Rd,"(None, None, None, None, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, None, None, None, None, False, casual, None, True, True, 1, False, False, True, None, True, None)",EIb85lCA6HMzxdsacYtjGA,Restaurant,,,,American,,,,,,,Phoenix,"(11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-21:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",0,33.3306785,-111.9814864,A Slice of Bella,,85044,8,3.5,AZ
892,2919 N 59th Ave,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, None, loud, None, False, casual, None, False, True, 2, False, True, True, None, None, no)",Pwl45nZjCvDCBVIsI-iG1g,Restaurant,,,,American,,,,,,,Phoenix,,1,33.481959,-112.185779,Mariscos Ensenada 4,,85033,12,2.5,AZ
893,2022 N 7th St,"(None, None, beer_and_wine, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 2, True, False, True, None, None, free)",S6TMBqrsi4PLRFoQFPScjQ,Restaurant,,,,American,,,,,,,Phoenix,"(11:0-21:0, 11:0-21:0, 11:0-21:0, None, 11:0-21:0, 11:0-21:0, 11:0-21:0)",1,33.47014,-112.065474,Green New American Vegetarian,,85004,800,4.5,AZ
894,3363 E University Dr,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': True}, None, None, False, None, average, None, False, casual, None, False, False, 1, False, True, True, None, True, no)",ZP7U4qUCMjIvasWV7a_mgg,Restaurant,,,,American,,,,,,,Phoenix,"(0:0-0:0, 0:0-0:0, 0:0-0:0, 0:0-0:0, 0:0-0:0, 0:0-0:0, 0:0-0:0)",1,33.4155951,-112.0079778,Waffle House,,85040,90,3,AZ
895,"1219 E Glendale Ave, Ste 14","(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, False, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, True, True, 2, False, True, True, None, True, no)",TolwZ3L28or4E8SVTZUf6Q,Restaurant,,,,Italian,,,,,,,Phoenix,"(11:0-22:0, None, 11:0-22:0, 12:0-20:0, 11:0-21:0, 11:0-21:0, 11:0-21:0)",0,33.53787131,-112.055161,Spinato's Pizza,,85020,159,4,AZ
896,13226 N 7th St,"(None, None, full_bar, {'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, {'monday': True, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, False, None, None, None, None, False, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, None, True, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, quiet, None, True, casual, None, False, True, 2, True, True, True, yes, True, no)",14O6gNqpd3bcnIAHPFT58g,Pub,Restaurant,,,Italian,,,,,,,Phoenix,"(17:0-21:0, 17:0-21:0, 17:0-21:0, 17:0-21:0, 17:0-21:0, 17:0-21:0, 17:0-21:0)",0,33.606332,-112.066095,Salute Ristorante Italiano,,85022,79,4,AZ
897,7010 S 27th Ave,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, True, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 2, True, True, True, None, True, no)",VINE7iA13oerzpSvnh40Pg,Restaurant,,,,American,,,,,,,Phoenix,"(None, None, 8:0-12:0, 8:0-12:0, None, None, None)",0,33.382596,-112.117267,The Grove Cafe,,85041,28,4,AZ
898,"3329 E Bell Rd, Ste 16","(None, None, none, None, None, None, None, False, None, True, None, None, None, None, None, None, None, False, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, None, None, True, casual, None, False, True, 1, False, False, True, None, None, None)",O7XvKvc1JQqfl4Z-T28yJA,Restaurant,,,,American,,,,,,,Phoenix,,1,33.64023,-112.0100698,Subway,,85032,12,4,AZ
899,3838 N Central Ave Ste P6,"(None, None, None, None, None, None, None, None, None, None, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, True, None, None, None, None, None, None, None, None, casual, False, False, True, 1, None, True, True, None, None, None)",bNn-D4ANDAjArEz1-QaSbw,Restaurant,,,,American,,,,,,,Phoenix,,0,33.4915301,-112.0755533,Le Peep Restaurant On Central,,85012,3,3.5,AZ
900,825 W Southern Ave,"(None, None, none, None, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, None, None, None, False, None, quiet, None, False, casual, None, False, False, 1, False, False, True, None, None, no)",ZysmUvp5RtfkNTGcht1CTw,Restaurant,,,,American,,,,,,,Phoenix,,1,33.3922016,-112.0846031,Pizza PatrÃ³n,,85041,3,2.5,AZ
901,3553 W Dunlap Ave,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, False, None, None, None, None, False, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, False, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': True, 'live': False, 'video': False, 'jukebox': False}, average, None, False, casual, None, False, True, 1, False, False, True, no, False, no)",vn5Ebwy-IdtJ6PQE6y7vaA,Pub,Restaurant,,,Asian,Filipino,,,,,,Phoenix,"(9:0-19:0, 9:0-19:0, 9:0-19:0, 9:0-17:0, 9:0-19:0, 9:0-19:0, 9:0-19:0)",1,33.56674,-112.1359928,Halo-Halo Kitchen,,85051,204,3.5,AZ
902,6505 N 7th St,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, False, casual, None, True, True, 1, False, False, True, None, True, no)",nBwOIq5KI-zmxp061dTmgw,Restaurant,,,, Chinese,,,,,,,Phoenix,"(11:0-21:30, 11:0-21:30, 11:0-21:30, 11:0-21:0, 11:0-21:30, 11:0-21:30, 11:0-21:30)",1,33.53119183,-112.064523,Chen & Wok,,85014,151,3.5,AZ
903,"4727 E Bell Rd, Ste 59","(None, None, beer_and_wine, None, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, None, None, None, None, True, casual, None, True, True, 2, False, True, True, None, True, None)",wwjkBRfPIzyP9pvi94cH8A,Restaurant,,,,American,,,,,,,Phoenix,"(11:0-22:0, 16:0-21:0, 11:0-22:0, None, 16:0-21:0, 16:0-21:0, 16:0-21:0)",0,33.638405,-111.979837,Pizza Italia,,85032,7,3.5,AZ
904,5127 W Indian School Rd,"(None, None, None, None, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1, None, None, False, None, None, None)",TS_ohuVIkK_4mKrOyMsbOw,Restaurant,,,,American,,,,,,,Phoenix,"(6:0-23:0, 6:0-23:0, 6:0-23:0, 6:0-23:0, 6:0-23:0, 6:0-23:0, 6:0-23:0)",1,33.493632,-112.170025,El Super,,85031,6,3.5,AZ
905,10047 N Metro Pkwy E,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, False, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, False, casual, None, False, True, 2, True, True, True, None, True, no)",3deqbrFWWyHdlvAbmqWqMQ,Restaurant,,,,American,,,,,,Barbeque,Phoenix,"(11:0-23:0, 11:0-22:0, 11:0-23:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.57805916,-112.1181255,LongHorn Steakhouse,,85051,135,3.5,AZ
906,777 E Thunderbird Rd,"(None, None, beer_and_wine, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, True, casual, None, True, True, 1, False, False, True, None, None, no)",65kCKrnO3SulNYEen0itGg,Restaurant,,,,Italian,,,,,,,Phoenix,"(11:0-20:0, 11:0-20:0, 11:0-20:0, 11:0-20:0, 11:0-20:0, 11:0-20:0, 11:0-20:0)",1,33.607105,-112.063427,Isa's Pizza,,85022,116,4,AZ
907,"10880 N 32nd St, Ste 39","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}, None, None, False, None, quiet, None, False, casual, None, False, False, 1, False, False, True, None, None, no)",48IAxa7b8mdl9FqHE8jlbA,Restaurant,,,,American,,,,,,Bakery,Phoenix,"(9:0-17:0, 9:0-15:0, 9:0-15:0, None, 9:0-17:0, 9:0-17:0, 9:0-17:0)",1,33.5856509,-112.0137434,Gluten Free Creations,,85028,52,4.5,AZ
908,"4902 E Shea Blvd, Ste 106","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, False, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 1, False, False, True, None, True, no)",pOtdsa2yiFeNs4VdoAGGqA,Restaurant,,,,American,,,,,,,Phoenix,"(11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.583068,-111.9762581,Five Guys,,85028,41,3.5,AZ
909,254 E Buckeye Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, False, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 1, False, False, True, None, True, no)",VJVEDDJKccmrW1fhJCWmsQ,Restaurant,,Food truck,,Mexican,,,,,,,Phoenix,"(8:30-2:0, 8:30-0:0, 8:30-2:0, 8:30-0:0, 8:30-0:0, 8:30-0:0, 8:30-0:0)",1,33.437162,-112.070483,Taqueria La Hacienda,,85004,79,4.5,AZ
910,202 N Central Ave,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, None, True, None, None, None, None, None, None, False, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, True, casual, None, False, True, 2, True, True, True, None, None, free)",DJcvnN7BCiqOUAra35xYuA,Restaurant,,Food truck,,Vietnamese,French,,,,,,Phoenix,"(11:0-23:0, 11:0-22:0, 11:0-23:0, None, 11:0-22:0, 11:0-22:0, 11:0-22:0)",0,33.4505535,-112.0741097,Rice Paper Vietnamese Cuisine & Bar,,85004,110,3.5,AZ
911,Central Ave,"(None, None, None, None, None, None, None, False, False, False, {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, True, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2, False, None, None, None, None, None)",LdFkSl9OGzSi6LaIoYlVwQ,Restaurant,,Food truck,,Haitian,Caribbean,,,,,,Phoenix,"(6:0-19:0, 6:0-19:0, 6:0-19:0, 6:0-19:0, 6:0-19:0, 6:0-19:0, 6:0-19:0)",0,33.510543,-112.073747,The Organic Glow,,85013,8,4,AZ
912,607 W Osborn Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, False, casual, None, False, True, 2, False, True, True, None, None, no)",6B-sZzuNYnVz5sk2c4EfHA,Restaurant,,Food truck,,American,,,,,,Barbeque,Phoenix,"(10:30-21:0, 11:0-20:0, 10:30-21:0, 11:0-18:0, 11:0-20:0, 11:0-20:0, 11:0-20:0)",0,33.487248,-112.082387,Stacy's Pampered Pig,,85013,75,3.5,AZ
913,1546 W Bell Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, True, casual, None, True, True, 2, None, True, True, None, None, no)",l0rCp89DvD39-2BhErhyQw,Restaurant,,Food truck,,Italian,,,,,,,Phoenix,,0,33.6403359,-112.0936168,Tony Pizzeria Italian Restaurant,,85023,8,3.5,AZ
914,"1945 W Dunlap Ave, # 205","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, False, casual, None, True, True, 2, False, False, True, None, None, no)",vyHckzyE5FNJxqt2QMFnqA,Restaurant,,,,American,,,,,,,Phoenix,"(10:0-2:0, 10:0-0:0, 10:0-2:0, 10:0-0:0, 10:0-0:0, 10:0-0:0, 10:0-0:0)",1,33.5667741,-112.1024556,Domino's Pizza,,85021,24,2.5,AZ
915,"710 E Union Hills Dr, Ste 16-A","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, False, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, True, 1, False, False, True, None, True, free)",9o-DUVGYaoKkqnCP5BT_NA,Restaurant,,,,Mexican,,,,,,,Phoenix,"(7:0-21:0, 7:0-20:0, 7:0-21:0, 8:0-20:0, 7:0-21:0, 7:0-20:0, 7:0-20:0)",1,33.6560729,-112.0641072,Mi Pueblo Mexican Food,,85024,172,4,AZ
916,2805 West Carefree Highway,"(None, None, beer_and_wine, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, False, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, False, None, None, True, {'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, True, casual, None, True, True, 2, True, True, True, None, True, free)",mFmmOKdcwFrDqXKaew0ahw,Pub,,,,Italian,,,,,,,Phoenix,"(10:30-22:0, 10:30-21:0, 10:30-22:0, 11:0-21:0, 10:30-21:0, 10:30-21:0, 10:30-21:0)",1,33.7975712,-112.1205616,Streets of New York,,85086,65,3,AZ
917,1 W Jefferson St,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}, None, None, {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, False, False, True, {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, False, None, None, False, None, False, None, None, None, True, False, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, average, None, False, None, None, None, True, 2, True, None, None, no, True, free)",Gz9SlLqxS6wnxPvgdOQNrA,Pub,,,,Asian,,,,,,,Phoenix,"(16:0-2:0, None, 16:0-2:0, 0:0-2:0, 16:0-2:0, 16:0-2:0, 16:0-2:0)",1,33.44699547,-112.0738731,Bitter & Twisted Cocktail Parlour,,85003,834,4,AZ
918,12032 N Cave Creek Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, quiet, None, False, casual, None, False, True, 2, True, True, True, None, None, no)",iq50qr2p5d68f2TO3OA9BA,Restaurant,,,,Thai,,,,,,,Phoenix,"(17:0-22:0, None, 16:30-22:0, 17:0-21:0, 17:0-21:0, None, 17:0-21:0)",0,33.5959571,-112.0391851,E-san Sab Sab Thai Cuisine,,85020,81,3.5,AZ
919,7025 N 7th St,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, True, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, False, casual, None, False, True, 1, False, False, True, None, None, None)",NbQHD6DVge3n-UvfYYNE_g,Restaurant,,,,American,,,,,,,Phoenix,"(6:0-22:0, 6:0-22:0, 6:0-22:0, 7:0-22:0, 6:0-22:0, 6:0-22:0, 6:0-22:0)",1,33.5394968,-112.064706,Burger King,,85020,23,1.5,AZ
920,9802 N 7th Street,"(None, None, None, None, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, None, None, None, None, None, casual, None, False, True, 1, False, False, True, None, True, None)",he-JIuJSUxnrr04iyycH6A,Restaurant,,,,American,,,,,,,Phoenix,,0,33.5752609,-112.0655777,Tacos Jalisco,,85020,4,3,AZ
